STOCK,PRICE,WEIGHT,SHARES PER CREATION ORDER,TOTAL,
AC,930,7.22,90,83700,7.36
AEV,60,4.16,790,47400,4.17
AGI,13.7,1.1,900,12330,1.08
ALI,43.2,8.86,2300,99360,8.74
AP,35,1.31,400,14000,1.23
BDO,123.7,6.52,600,74220,6.53
BLOOM,11.32,1.17,1200,13584,1.19
BPI,84,4.86,660,55440,4.87
DMC,11.18,1.11,1100,12298,1.08
FGEN,21.3,0.66,400,8520,0.75
GLO,1903,1.49,10,19030,1.67
GTCAP,930,2.18,25,23250,2.04
ICT,113,3.1,310,35030,3.08
JFC,309,3.97,150,46350,4.08
JGS,65.8,5.17,890,58562,5.15
LTG,15.24,1.15,900,13716,1.21
MBT,75.2,3.92,590,44368,3.90
MEG,5.15,1.51,3300,16995,1.49
MER,367,2.32,70,25690,2.26
MPI,4.57,1.62,4000,18280,1.61
PGOLD,46.8,1.14,300,14040,1.23
RLC,22.8,1.24,600,13680,1.20
RRHI,86.5,1.24,160,13840,1.22
SCC,21.75,0.64,300,6525,0.57
SECB,162.5,1.93,130,21125,1.86
SM,940,13.33,160,150400,13.22
SMC,170.7,1.63,110,18777,1.65
SMPH,37.95,9.38,2800,106260,9.34
TEL,1030,2.5,30,30900,2.72
URC,137,3.56,290,39730,3.49
,,,,1137400,100.00
